iter	Passed	Remaining
258	1505	4889
259	1511	4881
260	1516	4875
261	1522	4869
262	1527	4862
263	1533	4855
264	1539	4849
265	1544	4842
266	1549	4835
267	1555	4829
268	1561	4822
269	1566	4816
270	1572	4809
271	1577	4803
272	1583	4796
273	1588	4789
274	1594	4782
275	1599	4776
276	1605	4770
277	1611	4763
278	1616	4757
279	1622	4751
280	1628	4746
281	1634	4740
282	1640	4735
283	1645	4727
284	1651	4722
285	1656	4715
286	1662	4709
287	1668	4703
288	1673	4697
289	1679	4689
290	1685	4684
291	1690	4678
292	1696	4672
293	1702	4666
294	1707	4660
295	1713	4653
296	1718	4646
297	1724	4641
298	1730	4634
299	1735	4628
300	1741	4622
301	1747	4618
302	1753	4613
303	1761	4611
304	1766	4604
305	1772	4598
306	1777	4592
307	1783	4585
308	1789	4580
309	1794	4574
310	1800	4567
311	1806	4561
312	1811	4555
313	1817	4548
314	1822	4541
315	1828	4535
316	1833	4528
317	1838	4521
318	1844	4515
319	1850	4510
320	1855	4503
321	1861	4496
322	1866	4490
323	1872	4485
324	1878	4480
325	1884	4474
326	1890	4468
327	1895	4461
328	1901	4455
329	1907	4450
330	1913	4446
331	1920	4441
332	1925	4435
333	1932	4431
334	1938	4426
335	1943	4419
336	1949	4413
337	1954	4407
338	1960	4401
339	1965	4394
340	1971	4388
341	1977	4382
342	1983	4376
343	1988	4370
344	1994	4364
345	1999	4357
346	2005	4352
347	2011	4346
348	2017	4340
349	2022	4334
350	2028	4328
351	2033	4321
352	2039	4315
353	2045	4311
354	2052	4307
355	2058	4302
356	2064	4296
357	2070	4290
358	2075	4284
359	2081	4278
360	2086	4272
361	2092	4265
362	2098	4259
363	2103	4253
364	2109	4247
365	2114	4240
366	2120	4235
367	2126	4229
368	2131	4223
369	2137	4217
370	2143	4211
371	2148	4205
372	2154	4198
373	2159	4192
374	2165	4186
375	2170	4180
376	2176	4173
377	2182	4167
378	2187	4161
379	2193	4155
380	2198	4148
381	2204	4143
382	2210	4137
383	2216	4132
384	2222	4126
385	2228	4121
386	2233	4115
387	2238	4108
388	2244	4102
389	2249	4096
390	2255	4089
391	2260	4083
392	2266	4077
393	2272	4071
394	2277	4065
395	2283	4058
396	2288	4053
397	2294	4046
398	2299	4040
399	2305	4034
400	2310	4028
401	2316	4022
402	2322	4016
403	2327	4010
404	2333	4003
405	2338	3997
406	2344	3991
407	2350	3985
408	2355	3980
409	2361	3974
410	2367	3968
411	2373	3962
412	2378	3956
413	2384	3950
414	2389	3944
415	2394	3937
416	2401	3932
417	2406	3926
418	2412	3920
419	2418	3915
420	2424	3910
421	2431	3905
422	2437	3900
423	2443	3895
424	2449	3890
425	2455	3885
426	2461	3880
427	2466	3872
428	2471	3866
429	2477	3860
430	2482	3853
431	2487	3846
432	2493	3840
433	2499	3835
434	2505	3830
435	2511	3825
436	2518	3821
437	2524	3816
438	2534	3815
439	2540	3811
440	2546	3805
441	2552	3799
442	2557	3793
443	2563	3787
444	2569	3781
445	2574	3775
446	2580	3769
447	2585	3763
448	2591	3757
449	2596	3751
450	2603	3746
451	2608	3739
452	2614	3734
453	2620	3729
454	2626	3723
455	2632	3717
456	2637	3711
457	2643	3705
458	2648	3699
459	2654	3693
460	2660	3687
461	2666	3681
462	2671	3675
463	2677	3669
464	2683	3664
465	2689	3658
466	2694	3652
467	2700	3646
468	2706	3640
469	2711	3634
470	2717	3628
471	2722	3622
472	2728	3616
473	2733	3610
474	2739	3604
475	2744	3597
476	2750	3591
477	2756	3586
478	2761	3580
479	2767	3574
480	2772	3568
481	2778	3562
482	2783	3556
483	2789	3549
484	2794	3543
485	2799	3537
486	2805	3531
487	2811	3525
488	2816	3519
489	2822	3513
490	2827	3507
491	2833	3501
492	2838	3495
493	2844	3488
494	2849	3482
495	2855	3477
496	2861	3471
497	2866	3465
498	2872	3460
499	2878	3453
500	2883	3447
501	2890	3442
502	2895	3437
503	2901	3431
504	2909	3427
505	2915	3422
506	2920	3415
507	2926	3410
508	2932	3404
509	2937	3398
510	2943	3392
511	2949	3386
512	2955	3381
513	2960	3375
514	2965	3368
515	2971	3362
516	2977	3357
517	2983	3351
518	2988	3345
519	2994	3339
520	3000	3334
521	3005	3328
522	3011	3322
523	3017	3316
524	3024	3312
525	3030	3307
526	3037	3302
527	3043	3297
528	3049	3291
529	3054	3285
530	3060	3279
531	3065	3273
532	3072	3268
533	3078	3263
534	3084	3257
535	3090	3252
536	3096	3246
537	3102	3240
538	3108	3234
539	3113	3228
540	3118	3222
541	3124	3216
542	3129	3210
543	3135	3205
544	3141	3199
545	3147	3193
546	3152	3187
547	3158	3181
548	3163	3175
549	3169	3169
550	3174	3163
551	3180	3157
552	3186	3151
553	3191	3145
554	3197	3140
555	3203	3134
556	3209	3128
557	3214	3122
558	3220	3116
559	3226	3110
560	3231	3104
561	3236	3098
562	3242	3092
563	3248	3086
564	3253	3081
565	3259	3074
566	3264	3068
567	3270	3063
568	3275	3057
569	3281	3051
570	3286	3045
571	3292	3039
572	3298	3033
573	3303	3027
574	3309	3021
575	3315	3015
576	3320	3009
577	3326	3003
578	3331	2998
579	3337	2991
580	3342	2985
581	3348	2980
582	3355	2975
583	3362	2971
584	3369	2966
585	3376	2962
586	3382	2956
587	3389	2951
588	3396	2946
589	3403	2941
590	3409	2936
591	3417	2932
592	3424	2928
593	3432	2923
594	3439	2919
595	3445	2914
596	3451	2908
597	3459	2903
598	3466	2899
599	3474	2895
600	3482	2891
601	3490	2887
602	3497	2882
603	3504	2877
604	3510	2872
605	3517	2867
606	3523	2862
607	3530	2856
608	3536	2851
609	3545	2848
610	3554	2844
611	3561	2839
612	3568	2835
613	3574	2829
614	3583	2825
615	3591	2821
616	3598	2817
617	3605	2811
618	3613	2807
619	3619	2801
620	3627	2798
621	3635	2793
622	3643	2789
623	3649	2783
624	3657	2779
625	3666	2775
626	3672	2770
627	3679	2765
628	3687	2761
629	3694	2756
630	3700	2750
631	3709	2746
632	3716	2741
633	3723	2736
634	3734	2734
635	3741	2729
636	3748	2724
637	3754	2718
638	3760	2713
639	3766	2706
640	3772	2701
641	3777	2694
642	3783	2688
643	3788	2682
644	3794	2676
645	3800	2670
646	3805	2664
647	3811	2658
648	3816	2652
649	3822	2646
650	3827	2639
651	3833	2633
652	3838	2627
653	3844	2621
654	3849	2615
655	3855	2609
656	3861	2603
657	3867	2597
658	3874	2592
659	3879	2586
660	3884	2580
661	3890	2574
662	3896	2568
663	3901	2561
664	3907	2556
665	3913	2550
666	3920	2544
667	3926	2539
668	3932	2533
669	3939	2528
670	3945	2522
671	3952	2517
672	3958	2511
673	3964	2505
674	3971	2500
675	3977	2495
676	3984	2489
677	3991	2484
678	3997	2478
679	4007	2475
680	4016	2471
681	4024	2466
682	4030	2460
683	4037	2455
684	4044	2450
685	4050	2444
686	4056	2438
687	4063	2433
688	4070	2427
689	4076	2422
690	4083	2416
691	4089	2411
692	4096	2405
693	4103	2400
694	4109	2394
695	4116	2389
696	4122	2383
697	4128	2377
698	4135	2372
699	4141	2366
700	4147	2360
701	4154	2355
702	4160	2349
703	4166	2343
704	4173	2338
705	4180	2332
706	4186	2327
707	4195	2322
708	4202	2317
709	4209	2312
710	4224	2311
711	4231	2305
712	4238	2300
713	4245	2295
714	4252	2289
715	4258	2283
716	4264	2278
717	4270	2272
718	4277	2266
719	4283	2260
720	4290	2255
721	4297	2249
722	4303	2243
723	4309	2238
724	4316	2232
725	4322	2226
726	4329	2221
727	4335	2215
728	4342	2209
729	4348	2204
730	4354	2198
731	4361	2192
732	4367	2186
733	4373	2180
734	4380	2175
735	4386	2169
736	4392	2163
737	4399	2157
738	4406	2152
739	4412	2146
740	4418	2140
741	4424	2134
742	4430	2129
743	4437	2123
744	4443	2117
745	4449	2111
746	4455	2105
747	4462	2099
748	4468	2094
749	4475	2088
750	4481	2082
751	4488	2076
752	4494	2071
753	4500	2065
754	4507	2059
755	4513	2053
756	4519	2047
757	4526	2042
758	4532	2036
759	4539	2030
760	4545	2024
761	4551	2019
762	4558	2013
763	4564	2007
764	4571	2002
765	4578	1996
766	4584	1990
767	4591	1984
768	4597	1978
769	4603	1972
770	4610	1967
771	4616	1961
772	4622	1955
773	4629	1949
774	4635	1943
775	4641	1938
776	4648	1932
777	4654	1926
778	4661	1920
779	4667	1914
780	4673	1908
781	4680	1903
782	4687	1897
783	4694	1892
784	4709	1889
785	4723	1886
786	4737	1884
787	4752	1881
788	4758	1875
789	4764	1869
790	4770	1863
791	4775	1857
792	4781	1851
793	4787	1844
794	4792	1838
795	4798	1832
796	4803	1826
797	4809	1820
798	4815	1813
799	4820	1807
800	4826	1801
801	4832	1795
802	4837	1789
803	4843	1783
804	4849	1777
805	4855	1771
806	4861	1765
807	4867	1759
808	4873	1752
809	4878	1746
810	4884	1740
811	4890	1734
812	4896	1728
813	4902	1722
814	4907	1716
815	4913	1710
816	4919	1703
817	4924	1697
818	4930	1691
819	4936	1685
820	4941	1679
821	4948	1673
822	4954	1667
823	4959	1661
824	4965	1655
825	4970	1648
826	4976	1642
827	4982	1636
828	4989	1631
829	4995	1625
830	5002	1619
831	5008	1613
832	5013	1607
833	5019	1601
834	5025	1594
835	5031	1588
836	5036	1582
837	5042	1576
838	5047	1570
839	5052	1564
840	5058	1557
841	5064	1551
842	5070	1545
843	5075	1539
844	5081	1533
845	5086	1527
846	5092	1521
847	5098	1514
848	5103	1508
849	5109	1502
850	5114	1496
851	5120	1490
852	5125	1484
853	5131	1478
854	5136	1471
855	5142	1465
856	5147	1459
857	5154	1453
858	5160	1447
859	5165	1441
860	5171	1435
861	5176	1429
862	5182	1423
863	5187	1417
864	5193	1410
865	5198	1404
866	5204	1398
867	5209	1392
868	5215	1386
869	5221	1380
870	5226	1374
871	5232	1368
872	5238	1362
873	5243	1355
874	5249	1349
875	5254	1343
876	5260	1337
877	5266	1331
878	5271	1325
879	5277	1319
880	5283	1313
881	5288	1307
882	5294	1301
883	5299	1295
884	5305	1288
885	5310	1282
886	5315	1276
887	5321	1270
888	5326	1264
889	5332	1258
890	5337	1252
891	5343	1245
892	5348	1239
893	5354	1233
894	5360	1227
895	5366	1221
896	5371	1215
897	5376	1209
898	5383	1203
899	5388	1197
900	5393	1191
901	5399	1185
902	5404	1179
903	5410	1173
904	5415	1166
905	5421	1160
906	5427	1154
907	5432	1148
908	5438	1142
909	5443	1136
910	5449	1130
911	5454	1124
912	5460	1118
913	5465	1112
914	5471	1106
915	5476	1100
916	5482	1094
917	5488	1088
918	5493	1081
919	5499	1075
920	5504	1069
921	5510	1063
922	5515	1057
923	5521	1051
924	5527	1045
925	5533	1039
926	5538	1033
927	5544	1027
928	5550	1021
929	5555	1015
930	5561	1009
931	5566	1003
932	5572	997
933	5578	991
934	5583	985
935	5589	979
936	5594	973
937	5600	967
938	5605	961
939	5611	955
940	5617	949
941	5622	943
942	5628	937
943	5633	931
944	5639	924
945	5644	918
946	5650	912
947	5655	906
948	5661	900
949	5667	894
950	5673	888
951	5678	882
952	5683	876
953	5689	870
954	5695	864
955	5700	858
956	5706	852
957	5712	846
958	5719	840
959	5725	834
960	5731	828
961	5737	823
962	5742	817
963	5748	810
964	5753	804
965	5759	798
966	5765	792
967	5770	786
968	5775	780
969	5781	774
970	5787	768
971	5792	762
972	5798	756
973	5804	750
974	5809	744
975	5815	738
976	5821	732
977	5827	726
978	5833	721
979	5839	715
980	5845	709
981	5850	703
982	5856	697
983	5862	691
984	5867	685
985	5873	679
986	5878	673
987	5884	667
988	5889	661
989	5895	655
990	5901	649
991	5906	643
992	5912	637
993	5918	631
994	5925	625
995	5931	619
996	5937	613
997	5943	607
998	5948	601
999	5954	595
1000	5960	589
1001	5969	583
1002	5982	578
1003	5989	572
1004	5995	566
1005	6002	560
1006	6008	554
1007	6014	548
1008	6019	542
1009	6025	536
1010	6030	530
1011	6036	524
1012	6041	518
1013	6047	512
1014	6052	506
1015	6058	500
1016	6064	494
1017	6070	488
1018	6075	482
1019	6080	476
1020	6086	470
1021	6092	464
1022	6097	458
1023	6103	452
1024	6109	447
1025	6114	441
1026	6120	435
1027	6125	429
1028	6131	423
1029	6138	417
1030	6143	411
1031	6149	405
1032	6155	399
1033	6160	393
1034	6166	387
1035	6172	381
1036	6177	375
1037	6183	369
1038	6188	363
1039	6194	357
1040	6199	351
1041	6205	345
1042	6210	339
1043	6216	333
1044	6222	327
1045	6227	321
1046	6233	315
1047	6239	309
1048	6245	303
1049	6250	297
1050	6256	291
1051	6261	285
1052	6267	279
1053	6272	273
1054	6278	267
1055	6284	261
1056	6289	255
1057	6295	249
1058	6300	243
1059	6306	237
1060	6311	232
1061	6317	226
1062	6323	220
1063	6329	214
1064	6334	208
1065	6340	202
1066	6345	196
1067	6351	190
1068	6357	184
1069	6362	178
1070	6368	172
1071	6373	166
1072	6379	160
1073	6385	154
1074	6390	148
1075	6396	142
1076	6401	136
1077	6407	130
1078	6412	124
1079	6418	118
1080	6424	112
1081	6429	106
1082	6435	101
1083	6441	95
1084	6446	89
1085	6452	83
1086	6457	77
1087	6463	71
1088	6469	65
1089	6474	59
1090	6479	53
1091	6485	47
1092	6490	41
1093	6496	35
1094	6501	29
1095	6507	23
1096	6512	17
1097	6517	11
1098	6523	5
1099	6529	0
